DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2011-01-16	21302353	Perroud N	2010-12-28	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/21302353	Genome-wide association study of hoarding traits.	Hoarding	3,304 European ancestry individuals	NA	5q11.2	5	58025127	intergenic	LINC02225 - LINC02101	ENSG00000249584	ENSG00000248132		125965	82504	rs1844437-C	rs1844437	0	1844437	intergenic_variant	1	0.22	2E-6	5.698970004336019		0.62	[NR] unit decrease	Illumina [1517033] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST000932	Genome-wide genotyping array
2011-01-16	21302353	Perroud N	2010-12-28	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/21302353	Genome-wide association study of hoarding traits.	Hoarding	3,304 European ancestry individuals	NA	15q26.2	15	94146424	intergenic	LINC01581 - H3P40	ENSG00000259724	ENSG00000258570		38486	21925	rs2388436-G	rs2388436	0	2388436	intergenic_variant	1	0.42	6E-6	5.221848749616356		0.51	[NR] unit increase	Illumina [1517033] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST000932	Genome-wide genotyping array
2011-01-16	21302353	Perroud N	2010-12-28	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/21302353	Genome-wide association study of hoarding traits.	Hoarding	3,304 European ancestry individuals	NA	6q14.1	6	79547564	LCA5	AL391840.3 - AL391840.2	ENSG00000287811	ENSG00000261970		7588	5230	rs3747767-A	rs3747767	0	3747767	intergenic_variant	1	0.03	7E-7	6.154901959985743		1.81	[NR] unit increase	Illumina [1517033] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST000932	Genome-wide genotyping array
2020-04-15	32063569	Alemany-Navarro M	2020-01-29	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/32063569	Exploring genetic variants in obsessive compulsive disorder severity: A GWAS approach.	Obsessive compulsive disorder severity	376 Spanish ancestry individuals	NA	2p24.1	2	20112677	RPS16P2	AC098828.1 - RPS16P2	ENSG00000234378	ENSG00000213729		5848	42941	rs7578149-?	rs7578149	0	7578149	intergenic_variant	1	NR	2E-6	5.698970004336019		1.917254	NR unit increase	Illumina [338357]	N	obsessive-compulsive disorder, obsessive-compulsive symptom measurement	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0007802	GCST009818	Genome-wide genotyping array
2020-04-15	32063569	Alemany-Navarro M	2020-01-29	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/32063569	Exploring genetic variants in obsessive compulsive disorder severity: A GWAS approach.	Obsessive compulsive disorder severity	376 Spanish ancestry individuals	NA	2q37.1	2	230130731	LOC107985997	AC009950.1			ENSG00000225963			rs6436908-?	rs6436908	0	6436908	intron_variant	0	NR	8E-6	5.096910013008056		1.754016	NR unit decrease	Illumina [338357]	N	obsessive-compulsive disorder, obsessive-compulsive symptom measurement	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0007802	GCST009818	Genome-wide genotyping array
2020-04-15	32063569	Alemany-Navarro M	2020-01-29	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/32063569	Exploring genetic variants in obsessive compulsive disorder severity: A GWAS approach.	Obsessive compulsive disorder severity	376 Spanish ancestry individuals	NA	3p21.1	3	54224911	CACNA2D3	CACNA2D3			ENSG00000157445			rs11924650-?	rs11924650	0	11924650	intron_variant	0	NR	6E-6	5.221848749616356		1.979962	NR unit increase	Illumina [338357]	N	obsessive-compulsive disorder, obsessive-compulsive symptom measurement	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0007802	GCST009818	Genome-wide genotyping array
2020-04-15	32063569	Alemany-Navarro M	2020-01-29	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/32063569	Exploring genetic variants in obsessive compulsive disorder severity: A GWAS approach.	Obsessive compulsive disorder severity	376 Spanish ancestry individuals	NA	14q31.2	14	83401191	LOC100421611	RNU7-51P - RNU6ATAC28P	ENSG00000252369	ENSG00000238561		352551	349193	rs229836-?	rs229836	0	229836	intergenic_variant	1	NR	8E-6	5.096910013008056		1.950295	NR unit increase	Illumina [338357]	N	obsessive-compulsive disorder, obsessive-compulsive symptom measurement	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0007802	GCST009818	Genome-wide genotyping array
2020-04-15	32063569	Alemany-Navarro M	2020-01-29	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/32063569	Exploring genetic variants in obsessive compulsive disorder severity: A GWAS approach.	Obsessive compulsive disorder severity	376 Spanish ancestry individuals	NA	22q13.31	22	47789133	LOC284930	AL117329.1			ENSG00000224271			rs9615637-?	rs9615637	0	9615637	intron_variant	0	NR	2E-6	5.698970004336019		2.343338	NR unit decrease	Illumina [338357]	N	obsessive-compulsive disorder, obsessive-compulsive symptom measurement	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0007802	GCST009818	Genome-wide genotyping array
2020-04-15	32063569	Alemany-Navarro M	2020-01-29	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/32063569	Exploring genetic variants in obsessive compulsive disorder severity: A GWAS approach.	Compulsion score in obsessive compulsive disorder	376 Spanish ancestry individuals	NA	7q34	7	141936763	CLEC5A	MGAM, MGAM, CLEC5A			ENSG00000282607, ENSG00000257335, ENSG00000258227			rs1285950-?	rs1285950	0	1285950	intron_variant	0	NR	4E-6	5.3979400086720375		1.4286808	NR unit decrease	Illumina [338357]	N	obsessive-compulsive disorder, obsessive-compulsive symptom measurement	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0007802	GCST009819	Genome-wide genotyping array
2020-04-15	32063569	Alemany-Navarro M	2020-01-29	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/32063569	Exploring genetic variants in obsessive compulsive disorder severity: A GWAS approach.	Compulsion score in obsessive compulsive disorder	376 Spanish ancestry individuals	NA	6q23.2	6	132641902	TAAR1	TAAR2 - TAAR1	ENSG00000146378	ENSG00000146399		17627	2996	rs6569819-?	rs6569819	0	6569819	intergenic_variant	1	NR	4E-6	5.3979400086720375		1.3260514	NR unit decrease	Illumina [338357]	N	obsessive-compulsive disorder, obsessive-compulsive symptom measurement	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0007802	GCST009819	Genome-wide genotyping array
